@relation training
@attribute 'current price' numeric
@attribute 'retail price' numeric
@attribute city {San_Francisco,New_York,Chicago,Silver_Spring,Philadelphia,Cleveland,Washington_DC,Los_Angeles,Las_Vegas,Seattle,Boston,Portland,Miami}
@attribute dtp numeric
@attribute tweeted {0,1}
@attribute 'concert tweet' {0,1}
@attribute followers numeric
@attribute 'venue capacity' numeric
@attribute classification {Wait,Buy}
@data
150,25,Las_Vegas,22,1,1,0.06112,0.09169,Wait
17.75,25,San_Francisco,15,0,0,0.00226,0.01528,Wait
17.19,25,San_Francisco,13,1,1,0.00226,0.01528,Wait
17.11,25,San_Francisco,11,0,0,0.00226,0.01528,Wait
12,25,San_Francisco,9,0,0,0.00226,0.01528,Buy
14.99,25,San_Francisco,5,1,1,0.00226,0.01528,Wait
48,30,San_Francisco,15,1,1,0.02513,0.09169,Buy
57.45,30,San_Francisco,13,1,1,0.02513,0.09169,Wait
48,30,San_Francisco,11,1,1,0.02513,0.09169,Buy
110.22,20,Portland,20,1,1,0.00076,0.00761,Buy
129,20,Portland,18,0,0,0.00076,0.00761,Wait
110.22,20,Portland,16,0,0,0.00076,0.00761,Buy
129,20,Portland,14,1,1,0.00076,0.00761,Wait
129,20,Portland,10,1,1,0.00076,0.00761,Wait
59.95,27.5,San_Francisco,40,1,1,0.00195,0.07106,Buy
59.96,27.5,San_Francisco,38,1,1,0.00195,0.07106,Wait
59.96,27.5,San_Francisco,36,0,0,0.00195,0.07106,Buy
66.9,27.5,San_Francisco,34,0,0,0.00195,0.07106,Wait
66.9,27.5,San_Francisco,30,0,0,0.00195,0.07106,Wait
37.31,22,Boston,29,1,1,0.02303,0.02445,Buy
43,22,Boston,27,1,0,0.02303,0.02445,Wait
42.24,22,Boston,25,1,1,0.02303,0.02445,Buy
65.01,22,Boston,23,1,1,0.02303,0.02445,Wait
65,22,Boston,19,1,1,0.02303,0.02445,Wait
189.49,145,New_York,15,1,0,0.13635,0.61128,Wait
132,145,New_York,13,1,0,0.13635,0.61128,Wait
132,145,New_York,11,1,0,0.13635,0.61128,Buy
352,145,New_York,9,1,0,0.13635,0.61128,Wait
352,145,New_York,5,1,1,0.13635,0.61128,Wait
40,40,Miami,25,1,0,0.0076,0.03038,Buy
99.98,40,Miami,23,1,0,0.0076,0.03038,Wait
99.98,40,Miami,21,1,0,0.0076,0.03038,Buy
94.25,40,Miami,19,1,0,0.0076,0.03038,Wait
94.12,40,Miami,15,1,0,0.0076,0.03038,Wait
